,token_id,image,head,eyes,core,clothing,weapon,head_count,head_rarity,eyes_count,eyes_rarity,core_count,core_rarity,weapon_count,weapon_rarity,clothing_count,clothing_rarity,rarity
0,0,https://assets.otherside.xyz/kodas/68be2758ac10ddebf36c95318e3189afe0dbe7ed34373102fe78b46085a68146.png,Pink Fluff,Sewed Wide Shut,Candy,,The Watchers Eye,31,0.003253568429890848,46,0.004827875734676742,20,0.0020990764063811922,14.0,0.0014693534844668346,0.7048698572628044,7.397878434748157e-05,3.584080482949992e-15
1,1,https://assets.otherside.xyz/kodas/63960f98d58826ab11c47679d347d5c9734544b900a1613fe67fff276868e45c.png,Crystalline Helm,Tricemore,Caged Geminite,,Shards of Iridia,55,0.0057724601175482785,21,0.002204030226700252,169,0.017737195633921076,8.0,0.0008396305625524769,0.7048698572628044,7.397878434748157e-05,1.4017122618101058e-14
2,2,https://assets.otherside.xyz/kodas/1c473772544784436b7d7550ee9d5a117ebaef73e100adf8641ceacfb678e982.png,Arachnid,Late Night,Onyx Doom,Starry Beetle Cloak,Ravens Bite,137,0.014378673383711167,38,0.003988245172124265,526,0.055205709487825355,4.0,0.00041981528127623844,61.0,0.006402183039462637,8.508852433699223e-12
3,3,https://assets.otherside.xyz/kodas/d23c0d59357e4cac151469715c369c27785b0dc8b12b88eb2e7c455ccf09a39f.png,X Ray,Pink Staredown,X Ray,,Jaws of Evercrushing,58,0.006087321578505458,34,0.003568429890848027,173,0.01815701091519731,5.0,0.0005247691015952981,0.7048698572628044,7.397878434748157e-05,1.5311693063029546e-14
4,4,https://assets.otherside.xyz/kodas/86ea2edd1de0ea3f0f024b840c5f9f96d0e17b47e5e2aec739f89f48bc0bdd8e.png,Hoot,Dark Matters,Koda Bear,Degenerates Cape,Mush Clobberer,148,0.015533165407220823,18,0.001889168765743073,271,0.028442485306465155,10.0,0.0010495382031905961,41.0,0.004303106633081444,3.769455543991356e-12
5,5,https://assets.otherside.xyz/kodas/ad64a682950f6c3f0a0dd70d00cf2b815de0aec8eb62250119783cb229fb34c0.png,Horned Lion,Veggie,Bubble And Toil,Oozeguardian Armor,,79,0.00829135180520571,66,0.0069269521410579345,250,0.026238455079764904,0.6835642317380353,7.174267755436978e-05,90.0,0.009445843828715366,1.0212313355584329e-12
6,6,https://assets.otherside.xyz/kodas/41190a40c117b9b50efda77d0cc0fea30f7e1919cb13a3e916a2d149ba39f274.png,Dawn Disc,Furious,Husk,Fanged Cape,,280,0.02938706968933669,76,0.00797649034424853,112,0.011754827875734676,0.6835642317380353,7.174267755436978e-05,64.0,0.006717044500419815,1.327823062853505e-12
7,7,https://assets.otherside.xyz/kodas/3ac961d50434dcb0a15fc60e2e31809e756f01452a32ba89849c38e913cbf038.png,Demon Spawn,Winged,Lava Lamp,Brawlers Outfit,Bamboospear,158,0.01658270361041142,40,0.0041981528127623844,354,0.0371536523929471,34.0,0.003568429890848027,77.0,0.00808144416456759,7.459010871726573e-11
8,8,https://assets.otherside.xyz/kodas/7a335834c7b5b7ee6bdd490878eec057f85c0baa9132f2484049df9a8bf9e366.png,Tested Elder,Here And Everywhere,Amoebatopia,Bladed Carapace Armor,,113,0.011859781696053737,60,0.006297229219143577,257,0.02697313182199832,0.6835642317380353,7.174267755436978e-05,42.0,0.004408060453400504,6.370634584170837e-13
9,9,https://assets.otherside.xyz/kodas/246116ea482a2923e0349f22060af31242fdd4fa5dfc41a82111a89208ee63f2.png,Chomp Chomp,Veggie,Onyx Doom,Unknown Beast Armor,Skulds Renown,212,0.02225020990764064,66,0.0069269521410579345,526,0.055205709487825355,15.0,0.0015743073047858943,42.0,0.004408060453400504,5.904693343191755e-11
10,10,https://assets.otherside.xyz/kodas/9b2de68b1bb4bf2ba91d509efa00d0221e6dbafe16b38410c92d96d67431c434.png,Jade Carapace,Dryclops,Husk,Unknown Beast Armor,,222,0.023299748110831235,17,0.0017842149454240135,112,0.011754827875734676,0.6835642317380353,7.174267755436978e-05,42.0,0.004408060453400504,1.5453960441639995e-13
11,11,https://assets.otherside.xyz/kodas/cc148b7fb3e4587300be3ec359ff199049b22f0e7d3dc8f58b36864e0c1cdd2f.png,Tri Vent,Cave Fright,Carpet Gorilla,Hot Rod Bod,,289,0.03033165407220823,42,0.004408060453400504,46,0.004827875734676742,0.6835642317380353,7.174267755436978e-05,34.0,0.003568429890848027,1.6525494700061302e-13
12,12,https://assets.otherside.xyz/kodas/1b6da5a6b32d8705f42ac251c308ebd7ac42a9243de5424005e15a133a02a4dd.png,Great Kleos,Grim Bellows,Tide Roller,,Abyssal Trident,76,0.00797649034424853,33,0.0034634760705289673,119,0.012489504617968094,34.0,0.003568429890848027,0.7048698572628044,7.397878434748157e-05,9.108641455147091e-14
13,13,https://assets.otherside.xyz/kodas/f349c1fdd25dbd67008d4265031d3ecfc9416f01d7fc7d673687ce48624de390.png,Dawn Disc,Insomniac,Ivy Swirls,Fanged Cape,,280,0.02938706968933669,61,0.006402183039462637,54,0.005667506297229219,0.6835642317380353,7.174267755436978e-05,64.0,0.006717044500419815,5.138450621521905e-13
14,14,https://assets.otherside.xyz/kodas/fda546a07700d0709a56089160834265e4ceb0d4db337c162add4ead86ed9f96.png,Blue Crown,Villainous,Onyx Doom,Direplate,,164,0.017212426532325777,57,0.005982367758186398,526,0.055205709487825355,0.6835642317380353,7.174267755436978e-05,33.0,0.0034634760705289673,1.4125016866511732e-12
15,15,https://assets.otherside.xyz/kodas/f57d4f6954a708c7eabc9303263622cf78155c813828a6eafde353d432e4c75e.png,Chomp Chomp,Insomniac,Caged Geminite,Grassland Armor,,212,0.02225020990764064,61,0.006402183039462637,169,0.017737195633921076,0.6835642317380353,7.174267755436978e-05,98.0,0.010285474391267842,1.8644427981412154e-12
16,17,https://assets.otherside.xyz/kodas/a10bf658cce8c9dabe6c3cf1b0fa998ca78eaef01df2621fd105e828cc99fb30.png,Tri Vent,Peace And Love,Woodland Guardian,,,289,0.03033165407220823,46,0.004827875734676742,192,0.020151133501259445,0.6835642317380353,7.174267755436978e-05,0.7048698572628044,7.397878434748157e-05,1.566161087788832e-14
17,18,https://assets.otherside.xyz/kodas/5cf386bea404df2a2f555212249c2923b4f9bd687741d598063ebd3ebd4f2843.png,Drill Sergeant,Catty,Bubble And Toil,Grimace Armor,Never Bokken,228,0.02392947103274559,55,0.0057724601175482785,250,0.026238455079764904,22.0,0.0023089840470193117,33.0,0.0034634760705289673,2.898447400919876e-11
18,19,https://assets.otherside.xyz/kodas/e1634cedf40bc06a552e07d80d4d010243ee006987333d27b43ea83c891165fa.png,Swordfish,Aquatic Ogle,Hypnotic,Butchers Belt,,38,0.003988245172124265,21,0.002204030226700252,151,0.015848026868178003,0.6835642317380353,7.174267755436978e-05,77.0,0.00808144416456759,8.076833889403097e-14
19,20,https://assets.otherside.xyz/kodas/f786a7fd6a3173028e8d8189b3baa9f2fa1ecf83d18f709c43d2ce9edb9633a5.png,Green Gill,Twins,Monster Smoke,,,82,0.008606213266162888,54,0.005667506297229219,134,0.014063811922753989,0.6835642317380353,7.174267755436978e-05,0.7048698572628044,7.397878434748157e-05,3.640759042933212e-15
20,21,https://assets.otherside.xyz/kodas/dd223ab5689e4b1c0ffd4397c72bf509157c9c380000725e640626bb2a948a5b.png,Blue Crown,Crusty,Skeletron,Wasterider Pauldrons,,164,0.017212426532325777,66,0.0069269521410579345,114,0.011964735516372796,0.6835642317380353,7.174267755436978e-05,95.0,0.009970612930310664,1.0204384808506573e-12
21,22,https://assets.otherside.xyz/kodas/2030155c98998e5a0273e12ddc57339ae1ca6b6b049dc53670548663cc276a62.png,Coral Delight,Dual Pits,Berry Bomb,Gutterplate,Feathered Glaive,60,0.006297229219143577,90,0.009445843828715366,83,0.008711167086481947,38.0,0.003988245172124265,29.0,0.003043660789252729,6.289913954032285e-12
22,23,https://assets.otherside.xyz/kodas/35c120fb268a26193a50ee989e50dbd0124c5d7988cff0cccc4525f709e34f5b.png,Drill Sergeant,Jelly Beans,Woodland Guardian,Cobalt Squad Belt,,228,0.02392947103274559,72,0.007556675062972292,192,0.020151133501259445,0.6835642317380353,7.174267755436978e-05,87.0,0.009130982367758186,2.387032939777717e-12
