token_id,koda
0,9068.0
7,9565.0
15,8047.0
29,1239.0
33,6455.0
69,3190.0
70,9213.0
89,4451.0
97,4436.0
101,7093.0
110,7071.0
120,9254.0
132,5162.0
134,9934.0
135,9356.0
145,1168.0
164,393.0
165,6829.0
167,4176.0
179,6630.0
188,9474.0
200,3839.0
202,8155.0
206,5066.0
272,8247.0
298,2648.0
301,7207.0
305,5442.0
315,9552.0
321,3394.0
328,9260.0
340,6479.0
347,8725.0
387,5906.0
396,4170.0
416,5187.0
481,1353.0
490,1996.0
492,7068.0
528,4795.0
529,9408.0
530,2479.0
532,859.0
536,7544.0
549,2867.0
559,1618.0
612,4024.0
613,9134.0
618,4797.0
624,8044.0
646,5461.0
669,3340.0
671,3140.0
726,6900.0
744,5595.0
772,1637.0
785,488.0
811,551.0
821,9347.0
834,6737.0
847,8538.0
850,3588.0
851,6569.0
871,5417.0
875,2470.0
887,7222.0
928,8175.0
932,6930.0
938,4074.0
945,8866.0
946,7192.0
947,9090.0
953,4644.0
959,5813.0
964,617.0
969,5275.0
986,4877.0
997,2361.0
1008,784.0
1012,3821.0
1026,7401.0
1056,7853.0
1078,6475.0
1110,5950.0
1112,2995.0
1155,2636.0
1162,9248.0
1178,9529.0
1179,6780.0
1186,9305.0
1205,9870.0
1217,5614.0
1252,388.0
1253,5257.0
1266,6651.0
1268,1271.0
1277,1000.0
1286,6290.0
1288,3560.0
1292,9584.0
1329,7260.0
1330,5930.0
1346,8028.0
1387,7361.0
1420,1457.0
1426,255.0
1443,8509.0
1446,1406.0
1455,8312.0
1461,3225.0
1514,64.0
1539,7295.0
1553,7633.0
1574,3320.0
1586,7948.0
1602,225.0
1605,5958.0
1618,1199.0
1622,2090.0
1629,1737.0
1630,3794.0
1635,6538.0
1647,6703.0
1670,4443.0
1675,775.0
1679,6845.0
1681,26.0
1703,3573.0
1712,1520.0
1716,1917.0
1749,5112.0
1760,3368.0
1772,2012.0
1783,1623.0
1791,1693.0
1811,3257.0
1841,8543.0
1843,9951.0
1860,6584.0
1861,8173.0
1864,4324.0
1871,4525.0
1889,2357.0
1890,9959.0
1897,8361.0
1901,5134.0
1917,1399.0
1922,2570.0
1928,311.0
1930,3941.0
1932,7660.0
1934,2075.0
1956,6887.0
1970,1368.0
1973,8723.0
1974,8102.0
1977,8584.0
1978,3476.0
1988,7063.0
1996,606.0
2023,4983.0
2045,8913.0
2047,7134.0
2049,2678.0
2057,6063.0
2084,3169.0
2107,4886.0
2115,6482.0
2118,2809.0
2138,6499.0
2139,8752.0
2149,8537.0
2166,6350.0
2172,67.0
2185,2857.0
2194,2037.0
2205,4303.0
2222,2417.0
2234,4341.0
2254,359.0
2255,6896.0
2279,2731.0
2293,6998.0
2295,1834.0
2296,7567.0
2302,7020.0
2346,117.0
2353,8504.0
2361,751.0
2385,8933.0
2407,9495.0
2418,6062.0
2422,4864.0
2438,4490.0
2453,3549.0
2462,5031.0
2484,659.0
2488,6574.0
2499,1440.0
2506,1215.0
2513,2076.0
2528,5206.0
2539,476.0
2546,7278.0
2571,156.0
2599,4450.0
2608,6038.0
2620,4780.0
2627,4475.0
2632,5735.0
2650,1679.0
2653,8627.0
2657,4822.0
2675,134.0
2704,8621.0
2718,9853.0
2730,9920.0
2758,888.0
2762,7786.0
2764,6468.0
2770,2225.0
2797,2115.0
2801,1474.0
2802,9961.0
2808,1237.0
2815,7008.0
2816,7812.0
2817,2820.0
2824,7712.0
2863,5449.0
2867,3685.0
2872,7368.0
2898,5788.0
2915,9991.0
2917,84.0
2939,7307.0
2942,7131.0
2946,4314.0
2952,2781.0
2961,8768.0
2964,2371.0
2966,4766.0
2980,2868.0
3024,8273.0
3030,7709.0
3033,7279.0
3043,5488.0
3076,3905.0
3077,2999.0
3079,7331.0
3101,404.0
3104,9981.0
3115,7819.0
3120,2710.0
3142,7196.0
3147,501.0
3156,5081.0
3162,2317.0
3163,8854.0
3177,408.0
3202,562.0
3217,368.0
3225,8297.0
3227,9618.0
3229,3182.0
3235,781.0
3240,9882.0
3245,4541.0
3248,1687.0
3281,3449.0
3285,2920.0
3302,6591.0
3333,4243.0
3334,7598.0
3366,9741.0
3371,6187.0
3392,4055.0
3399,9084.0
3404,3824.0
3409,7306.0
3413,7360.0
3414,1473.0
3428,7635.0
3431,2737.0
3433,5635.0
3444,2198.0
3449,2053.0
3454,3187.0
3477,5189.0
3509,9340.0
3515,2934.0
3545,6278.0
3552,2871.0
3564,3156.0
3593,2243.0
3616,2177.0
3617,1844.0
3619,4150.0
3624,3445.0
3627,1299.0
3640,4546.0
3647,3410.0
3655,8024.0
3670,1879.0
3672,1680.0
3684,3816.0
3689,3114.0
3709,1869.0
3712,745.0
3720,8880.0
3739,3788.0
3745,9139.0
3752,1138.0
3765,3450.0
3773,2905.0
3784,2433.0
3789,6894.0
3796,3830.0
3806,7054.0
3811,5375.0
3812,4585.0
3816,2139.0
3822,4358.0
3825,2529.0
3828,2768.0
3843,4090.0
3853,8615.0
3866,5407.0
3873,9971.0
3904,8232.0
3906,8178.0
3930,263.0
3935,7905.0
3940,3751.0
3949,1314.0
3954,3073.0
3957,2985.0
3976,2763.0
3987,7687.0
3997,7521.0
4004,1006.0
4022,5913.0
4034,3829.0
4071,450.0
4073,9029.0
4085,5227.0
4098,8473.0
4099,3064.0
4113,5665.0
4114,4312.0
4163,8605.0
4169,6009.0
4179,3287.0
4185,1397.0
4208,7846.0
4210,7596.0
4249,9631.0
4250,106.0
4255,3638.0
4264,9557.0
4296,5084.0
4306,181.0
4319,4248.0
4349,7075.0
4355,1750.0
4375,1758.0
4380,5997.0
4381,4755.0
4398,3147.0
4406,7479.0
4413,2309.0
4436,5668.0
4472,3474.0
4487,2096.0
4488,2202.0
4489,4075.0
4496,2110.0
4510,6211.0
